iter	Passed	Remaining
0	6	6016
1	10	5412
2	16	5440
3	23	5767
4	28	5688
5	34	5724
6	40	5684
7	45	5651
8	51	5714
9	57	5740
10	64	5764
11	70	5818
12	76	5805
13	82	5844
14	89	5870
15	95	5855
16	101	5848
17	106	5808
18	111	5781
19	118	5798
20	124	5785
21	130	5785
22	136	5780
23	141	5771
24	148	5782
25	154	5779
26	159	5757
27	165	5752
28	171	5745
29	177	5740
30	183	5740
31	189	5733
32	195	5733
33	201	5737
34	207	5717
35	213	5720
36	219	5712
37	224	5684
38	230	5683
39	235	5662
40	241	5651
41	248	5662
42	254	5668
43	261	5680
44	267	5678
45	272	5660
46	280	5695
47	286	5683
48	292	5683
49	298	5673
50	303	5654
51	310	5655
52	315	5639
53	321	5632
54	328	5636
55	333	5615
56	341	5648
57	347	5641
58	352	5625
59	358	5616
60	364	5610
61	371	5614
62	377	5611
63	382	5600
64	389	5599
65	395	5590
66	400	5579
67	407	5580
68	412	5570
69	418	5559
70	424	5556
71	430	5545
72	436	5539
73	442	5539
74	448	5528
75	454	5524
76	459	5509
77	464	5496
78	471	5495
79	476	5483
80	481	5467
81	488	5465
82	493	5452
83	499	5442
84	505	5439
85	510	5428
86	517	5428
87	522	5418
88	528	5405
89	533	5396
90	539	5386
91	544	5373
92	550	5367
93	555	5356
94	561	5344
95	566	5338
96	572	5327
97	577	5319
98	584	5315
99	589	5308
100	595	5299
101	602	5303
102	609	5307
103	616	5308
104	622	5302
105	628	5304
106	634	5298
107	639	5285
108	645	5278
109	651	5267
110	656	5254
111	661	5247
112	667	5240
113	672	5228
114	678	5221
115	683	5210
116	688	5197
117	694	5193
118	700	5183
119	705	5172
120	711	5167
121	716	5157
122	721	5147
123	728	5148
124	734	5141
125	740	5133
126	745	5125
127	750	5116
128	756	5110
129	762	5104
130	768	5094
131	774	5090
132	779	5080
133	784	5071
134	790	5064
135	795	5054
136	800	5045
137	806	5038
138	811	5028
139	817	5019
140	822	5013
141	828	5006
142	833	4997
143	839	4991
144	845	4984
145	850	4975
146	856	4968
147	862	4965
148	867	4955
149	873	4951
150	878	4940
151	883	4929
152	889	4926
153	895	4919
154	900	4911
155	906	4904
156	912	4897
157	917	4890
158	923	4885
159	929	4880
160	935	4877
161	941	4869
162	946	4860
163	952	4855
164	957	4847
165	963	4839
166	969	4835
167	974	4826
168	979	4817
169	986	4814
170	991	4805
171	996	4798
172	1002	4790
173	1007	4782
174	1012	4773
175	1018	4768
176	1023	4760
177	1028	4751
178	1034	4743
179	1039	4734
180	1044	4725
181	1050	4720
182	1056	4716
183	1062	4712
184	1067	4703
185	1072	4694
186	1078	4686
187	1083	4681
188	1089	4673
189	1094	4667
190	1100	4660
191	1106	4655
192	1112	4652
193	1118	4648
194	1124	4642
195	1130	4636
196	1135	4629
197	1140	4620
198	1146	4616
199	1152	4609
200	1157	4602
201	1163	4595
202	1168	4587
203	1173	4579
204	1179	4572
205	1184	4564
206	1189	4557
207	1195	4552
208	1201	4546
209	1206	4539
